id,name,ticker,primaryCategory,discipline,leagueOrMedium,teamOrPlatform,role,country,careerStatus,marketSegment,careerStage,lastVerifiedAt,verificationStatus,sourceName,sourceUrl,sourceRecordId,dataConfidence,marketPrice,careerScore
cur-victor-wembanyama,Victor Wembanyama,VIMA,Athlete,Basketball,NBA,San Antonio Spurs,Center,France,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,141.51,81.0
cur-nikola-joki,Nikola Jokić,NIIC,Athlete,Basketball,NBA,Denver Nuggets,Center,Serbia,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,152.35,82.0
cur-shai-gilgeous-alexander,Shai Gilgeous-Alexander,SHER,Athlete,Basketball,NBA,Oklahoma City Thunder,Guard,Canada,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,159.43,82.3
cur-luka-don-i,Luka Dončić,LUIC,Athlete,Basketball,NBA,Los Angeles Lakers,Guard,Slovenia,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,134.43,81.9
cur-giannis-antetokounmpo,Giannis Antetokounmpo,GIPO,Athlete,Basketball,NBA,Milwaukee Bucks,Forward,Greece,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,160.11,85.9
cur-jayson-tatum,Jayson Tatum,JAUM,Athlete,Basketball,NBA,Boston Celtics,Forward,United States,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,142.56,77.6
cur-anthony-edwards,Anthony Edwards,ANDS,Athlete,Basketball,NBA,Minnesota Timberwolves,Guard,United States,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,127.62,78.6
cur-caitlin-clark,Caitlin Clark,CARK,Athlete,Basketball,WNBA,Indiana Fever,Guard,United States,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,166.48,87.0
cur-a-ja-wilson,A’ja Wilson,AJON,Athlete,Basketball,WNBA,Las Vegas Aces,Forward,United States,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,137.09,73.6
cur-breanna-stewart,Breanna Stewart,BRRT,Athlete,Basketball,WNBA,New York Liberty,Forward,United States,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,169.74,90.1
cur-sabrina-ionescu,Sabrina Ionescu,SACU,Athlete,Basketball,WNBA,New York Liberty,Guard,United States,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,129.88,79.5
cur-paolo-banchero,Paolo Banchero,PARO,Athlete,Basketball,NBA,Orlando Magic,Forward,United States,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,157.02,85.5
cur-patrick-mahomes,Patrick Mahomes,PAES,Athlete,American Football,NFL,Kansas City Chiefs,Quarterback,United States,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,148.49,89.5
cur-josh-allen,Josh Allen,JOEN,Athlete,American Football,NFL,Buffalo Bills,Quarterback,United States,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,157.98,86.6
cur-lamar-jackson,Lamar Jackson,LAON,Athlete,American Football,NFL,Baltimore Ravens,Quarterback,United States,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,142.6,79.0
cur-joe-burrow,Joe Burrow,JOOW,Athlete,American Football,NFL,Cincinnati Bengals,Quarterback,United States,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,127.36,75.7
cur-justin-jefferson,Justin Jefferson,JUON,Athlete,American Football,NFL,Minnesota Vikings,Wide Receiver,United States,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,146.68,90.5
cur-ja-marr-chase,Ja’Marr Chase,JASE,Athlete,American Football,NFL,Cincinnati Bengals,Wide Receiver,United States,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,147.38,88.3
cur-micah-parsons,Micah Parsons,MINS,Athlete,American Football,NFL,Dallas Cowboys,Edge Rusher,United States,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,136.33,79.5
cur-c-j-stroud,C.J. Stroud,CJUD,Athlete,American Football,NFL,Houston Texans,Quarterback,United States,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,129.35,83.1
cur-jayden-daniels,Jayden Daniels,JALS,Athlete,American Football,NFL,Washington Commanders,Quarterback,United States,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,128.96,80.2
cur-saquon-barkley,Saquon Barkley,SAEY,Athlete,American Football,NFL,Philadelphia Eagles,Running Back,United States,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,146.33,79.4
cur-myles-garrett,Myles Garrett,MYTT,Athlete,American Football,NFL,Cleveland Browns,Edge Rusher,United States,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,135.85,78.6
cur-puka-nacua,Puka Nacua,PUUA,Athlete,American Football,NFL,Los Angeles Rams,Wide Receiver,United States,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,139.77,84.3
cur-kylian-mbapp,Kylian Mbappé,KYPE,Athlete,Soccer,La Liga,Real Madrid,Forward,France,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,143.63,83.3
cur-erling-haaland,Erling Haaland,ERND,Athlete,Soccer,Premier League,Manchester City,Forward,Norway,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,132.49,78.4
cur-jude-bellingham,Jude Bellingham,JUAM,Athlete,Soccer,La Liga,Real Madrid,Midfielder,England,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,152.62,82.0
cur-lamine-yamal,Lamine Yamal,LAAL,Athlete,Soccer,La Liga,Barcelona,Forward,Spain,Active,Current,Established,,Prototype current seed — connect a live source before launch,TalentX current-first seed,,,0.7,163.45,88.2
