id,name,ticker,category,sub,source,sourceUrl,confidence,rawScore,score,fundamental,price,change,volume
ath-P-25850,Kristine Lilly,KRLI,Athlete,Football • Midfielder • 2007,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Kristine_Lilly,0.89,99.0,93.6,217.02,227.09,-2.28,835000
ath-P-74058,Martín Cáceres,MACA,Athlete,Football • Defender • 2022,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Mart%C3%ADn_C%C3%A1ceres,0.89,99.0,93.6,217.02,215.12,5.68,805000
ath-P-44926,Tim Cahill,TICA,Athlete,Football • Forward • 2018,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Tim_Cahill,0.89,98.9,93.5,216.62,246.58,3.77,865000
ath-P-59238,Florence Omagbemi,FLOM,Athlete,Football • Midfielder • 2003,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Florence_Omagbemi,0.89,98.8,93.4,216.05,202.19,7.57,838754
ath-P-29491,Luka Modrić,LUMO,Athlete,Football • Midfielder • 2022,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Luka_Modri%C4%87,0.89,98.8,93.4,216.14,210.75,4.45,895000
ath-P-07458,Marta,MART,Athlete,Football • Forward • 2019,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Marta_(footballer),0.89,98.7,93.4,215.91,238.55,8.37,1085000
ath-P-28010,Sergio Busquets,SEBU,Athlete,Football • Midfielder • 2022,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Sergio_Busquets,0.89,98.7,93.4,215.79,218.64,4.95,865000
ath-P-29415,Xavi,XAVI,Athlete,Football • Midfielder • 2014,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Xavi,0.89,98.7,93.4,215.75,213.13,-4.74,875000
ath-P-78440,Diego Godín,DIGO,Athlete,Football • Defender • 2022,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Diego_God%C3%ADn,0.89,98.7,93.3,215.69,222.61,3.82,815000
ath-P-41105,Karina LeBlanc,KAL2,Athlete,Football • Goalkeeper • 2015,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Karina_LeBlanc,0.89,98.7,93.3,215.63,220.61,7.49,895000
ath-P-56330,Andrés Iniesta,ANIN,Athlete,Football • Midfielder • 2018,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Andr%C3%A9s_Iniesta,0.89,98.5,93.2,214.82,242.28,-6.12,845000
ath-P-94354,Caroline Seger,CASE,Athlete,Football • Midfielder • 2019,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Caroline_Seger,0.89,98.5,93.2,214.83,241.98,7.21,755000
ath-P-30711,Hugo Lloris,HULL,Athlete,Football • Goalkeeper • 2022,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Hugo_Lloris,0.89,98.6,93.2,215.18,207.5,1.91,715000
ath-P-17805,Nozomi Yamago,NOYA,Athlete,Football • Goalkeeper • 2011,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Nozomi_Yamago,0.89,98.6,93.2,215.17,230.23,-5.51,987370
ath-P-00393,Abby Erceg,ABER,Athlete,Football • Defender • 2019,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Abby_Erceg,0.89,98.3,93.0,214.13,199.83,1.24,895000
ath-P-91976,DaMarcus Beasley,DABE,Athlete,Football • Midfielder • 2014,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/DaMarcus_Beasley,0.89,98.3,93.0,214.14,221.58,2.24,1015000
ath-P-59138,Edinson Cavani,EDCA,Athlete,Football • Forward • 2022,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Edinson_Cavani,0.89,98.3,93.0,214.03,250.51,-2.37,845000
ath-P-19610,Formiga,FORM,Athlete,Football • Forward • 2019,Fjelstul World Cup Database,"https://en.wikipedia.org/wiki/Formiga_(footballer,_born_1978)",0.89,98.4,93.0,214.22,200.64,0.54,715000
ath-P-33014,Kozue Ando,KOAN,Athlete,Football • Forward • 2015,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Kozue_Ando,0.89,98.3,93.0,214.03,203.74,-4.82,1015000
ath-P-15222,Sun-hong Hwang,SUHW,Athlete,Football • Forward • 2002,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Hwang_Sun-hong,0.89,98.3,93.0,213.85,240.9,4.27,1016229
ath-P-64332,Melissa Barbieri,MEBA,Athlete,Football • Goalkeeper • 2015,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Melissa_Barbieri,0.89,98.2,92.9,213.54,231.61,3.83,885000
ath-P-52228,Nilla Fischer,NIFI,Athlete,Football • Midfielder • 2019,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Nilla_Fischer,0.89,98.2,92.9,213.43,223.26,8.25,1075000
ath-P-61084,Ria Percival,RIPE,Athlete,Football • Midfielder • 2019,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Ria_Percival,0.89,98.2,92.9,213.51,248.75,-2.15,715000
ath-P-53205,Sandra Minnert,SAMI,Athlete,Football • Defender • 2007,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Sandra_Minnert,0.89,98.2,92.9,213.41,212.36,3.15,892462
ath-P-51395,Thierry Henry,THHE,Athlete,Football • Forward • 2010,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Thierry_Henry,0.89,98.2,92.9,213.44,207.66,-5.54,1052229
ath-P-66036,Andréia,ANDR,Athlete,Football • Goalkeeper • 2011,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Andr%C3%A9ia_Suntaque,0.89,98.1,92.8,212.88,231.52,5.23,848460
ath-P-90908,Antoine Griezmann,ANGR,Athlete,Football • Forward • 2022,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Antoine_Griezmann,0.89,98.1,92.8,213.0,239.72,9.35,852936
ath-P-61069,Bárbara,BARB,Athlete,Football • Goalkeeper • 2019,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/B%C3%A1rbara_(footballer),0.89,98.1,92.8,213.15,223.63,8.45,1025000
ath-P-53272,Eiji Kawashima,EIKA,Athlete,Football • Goalkeeper • 2022,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Eiji_Kawashima,0.89,98.1,92.8,213.16,239.03,-5.51,735000
ath-P-97813,Christine Sinclair,CHSI,Athlete,Football • Forward • 2019,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Christine_Sinclair,0.89,98.0,92.7,212.51,206.58,-1.77,775000
ath-P-34666,Karen Carney,KACA,Athlete,Football • Forward • 2019,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Karen_Carney,0.89,98.0,92.7,212.67,238.82,-4.86,965000
ath-P-94956,Lydia Williams,LYWI,Athlete,Football • Goalkeeper • 2019,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Lydia_Williams,0.89,98.0,92.7,212.74,227.82,-5.67,1025000
ath-P-99210,Mizuho Sakaguchi,MISA,Athlete,Football • Midfielder • 2019,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Mizuho_Sakaguchi,0.89,98.0,92.7,212.62,211.96,-0.77,755000
ath-P-19498,Stella Mbachu,STMB,Athlete,Football • Forward • 2011,Fjelstul World Cup Database,https://en.wikipedia.org/wiki/Stella_Mbachu,0.89,98.0,92.7,212.71,230.78,8.2,798850
